text,start,stop
Goedenavond.,00:00:00.800,00:00:02.800
Ik deze video heb ik gemaakt ...,00:00:03.080,00:00:05.960
voor die mensen die me niet kennen en toevallig op dit kanaal beland zijn.,00:00:06.140,00:00:09.160
Ook voor diegene die  deze video op een ander kanaal tegen komen.,00:00:09.380,00:00:12.840
Ik wil uitdrukkelijk vragen deze video te downloaden en op verschillende platformen te openbaren.,00:00:13.000,00:00:18.340
Mijn naam is Ken Jebsen en ik vrije reporter in Duitsland ...,00:00:19.580,00:00:22.640
en sinds 35 jaar met een reporter licentie.,00:00:22.840,00:00:25.840
Dat ik doe wat ik doe heb ik aan Duitsland te danken.,00:00:26.460,00:00:29.900
"ik had een relatief moeilijke jeugd,",00:00:30.320,00:00:32.820
"maar het gaf hier de grondwet,",00:00:32.820,00:00:34.660
"Atikel 1, ""De waarde van de mens is onaantastbaar,""",00:00:34.720,00:00:36.720
en daar om was het niet van het geld van de ouders  afhankelijk of ik een goede opleiding kreeg.,00:00:36.920,00:00:40.240
En zo kon ik mijn beroep uitvoeren ...,00:00:41.040,00:00:43.880
alhoewel dat in een ander land zo niet mogelijk was geweest.,00:00:43.960,00:00:46.420
Daarom ben ik Duitsland veel schuldig ...,00:00:46.660,00:00:49.080
dit boek de grondwet.,00:00:49.360,00:00:51.460
Deze grondwet is massief in gevaar ...,00:00:51.980,00:00:53.980
steekwoord corona ....,00:00:54.680,00:00:56.680
laat zien wat zich in dit land afspeelt ...,00:00:58.320,00:01:00.320
hoogst gevaarlijk is voor dit land en dat men de getallen ...,00:01:00.620,00:01:02.440
33 89 20,00:01:02.940,00:01:04.620
"Dus 2020 in zin noemen kan,",00:01:04.860,00:01:07.920
dan wat hier zich voor onze ogen afspeelt ....,00:01:08.220,00:01:10.220
is een schandaal en een catastrofe ....,00:01:10.640,00:01:13.300
Als wij dit niet aanpakken.,00:01:13.600,00:01:16.180
Of jullie kinderen ...,00:01:16.940,00:01:18.940
"als u bijvoorbeeld uw tijd in Maloca door brengt,",00:01:19.220,00:01:21.220
door hun bezocht worden kan ...,00:01:21.220,00:01:22.980
"of uw kinderen naar school gaan kunnen,",00:01:22.980,00:01:24.760
"of u uw beroep uitvoeren kunt,",00:01:25.360,00:01:27.360
"of u iemand anders in het openbaar dichter als 1,5 meter naderen kunnen,",00:01:27.460,00:01:31.280
"of u een masker draagt, ja of nee,",00:01:31.540,00:01:33.540
"of dit land nog verder in lockdown is, ja of nee,",00:01:34.000,00:01:36.700
"of u kunt vliegen, ja of nee,",00:01:36.920,00:01:38.920
"of u ook op vakantie met uw auto naar Oostenrijk gaat, ja of nee,",00:01:39.120,00:01:42.120
dat bestemd niet u die deze regering gekozen heeft ...,00:01:42.340,00:01:44.600
"dat bestemd niet u die deze regering financiert met belastinggeld,",00:01:44.940,00:01:47.800
dat bestemmen momenteel Bill en Belinda Gates.,00:01:48.040,00:01:51.040
De zogenaamde Gates Foundation.,00:01:51.140,00:01:53.140
Deze 2 mensen hebben zich over de WHO ...,00:01:53.420,00:01:55.520
"in de wereld democratieën gehackt,",00:01:55.760,00:01:58.540
en bestemmen dat wat men het nieuwe normaal noemt.,00:01:58.800,00:02:01.220
"Dat die nieuwe normaliteit waarin u zich nu bevindt,",00:02:01.520,00:02:03.880
waar in u met een gezichtsmasker rondlopen noet ...,00:02:03.880,00:02:05.600
"dat het hun niets interesseert  wat u er van vindt ,",00:02:05.820,00:02:08.560
"dat u met een nood regering leven moet,",00:02:08.620,00:02:10.620
dat is alles gebeurd door Bill en Belinda Gates.,00:02:10.860,00:02:13.860
Wat zijn dat voor mensen?,00:02:13.860,00:02:15.560
"Nou deze mensen behoren de Amerikaanse elite toe,",00:02:15.820,00:02:18.560
"dit boek is overigens uit de 50er jaren,",00:02:18.560,00:02:20.020
Mensen die door belasting ontduiking ....,00:02:20.620,00:02:22.620
tot heel veel geld gekomen zijn.,00:02:22.620,00:02:24.040
"Dat is ja door belasting ontduiking en niet door arbeid,",00:02:24.140,00:02:28.140
en die in hun waan ...,00:02:28.140,00:02:30.280
"religieuze waan de wereld beter te maken willen,",00:02:31.180,00:02:34.240
zich de WHO gekocht hebben ...,00:02:34.440,00:02:36.980
"want ze financieren de WHO voor 80%,",00:02:37.220,00:02:42.200
en schrijft keihard voor hoe gezondheid ...,00:02:42.380,00:02:45.800
gedefinieerd wordt.,00:02:45.800,00:02:47.100
Ze hebben allebei ...,00:02:47.320,00:02:48.820
"een fabel voor inentingen,",00:02:48.820,00:02:49.900
"ze geloven dat de gehele wereld beter wordt door inentingen,",00:02:50.080,00:02:53.540
en daarom hebben ze de WHO gekocht ...,00:02:53.840,00:02:57.020
"maar ze hebben ook GABI, de inenting alliantie gekocht.",00:02:57.020,00:02:58.880
"Ze betalen daar 75%,",00:02:58.880,00:03:00.720
"en hebben ook daar de broek aan,",00:03:00.720,00:03:02.260
Ze hebben zich ook bij onze bondsregering ingekocht ....,00:03:02.520,00:03:05.020
"ze financieren heer Drosten,",00:03:05.300,00:03:07.520
het Robert Koch instituut (RIVM).,00:03:07.580,00:03:09.580
"Ze hebben ook de media gekocht,",00:03:09.920,00:03:11.920
"en 2,5 miljoen aan ""Der Spiegel"" betaald,",00:03:12.180,00:03:15.120
"ze hebben met 300.000 Euro ""Die Zeit"" financiert,",00:03:15.460,00:03:17.460
Ze zijn bij het John Hopkins University aanwezig ...,00:03:17.720,00:03:20.440
"als groot investeerder met 20 miljoen,",00:03:20.440,00:03:21.980
dus zij bepalen de openbare mening als het er om gaat ...,00:03:22.300,00:03:25.700
"hoeveel inenting heeft de mens nodig en waar moet het vandaan komen,",00:03:25.920,00:03:29.220
is het vrijwillig of verplicht.,00:03:30.460,00:03:33.660
Men moet zich dat voorstellen ....,00:03:34.160,00:03:35.900
"niet alleen Europa,",00:03:36.020,00:03:36.800
"niet alleen Azië,",00:03:36.800,00:03:38.340
maar de hele wereld is in het vizier van Gates.,00:03:38.440,00:03:40.960
"Bill Gates heeft in het nieuws gezegd,",00:03:40.960,00:03:42.960
"wij, hij spreekt van zich als wij,",00:03:43.360,00:03:45.360
"wij kunnen eerst weer in de normaliteit terug keren, en meent ook ons,",00:03:45.480,00:03:48.400
"als de hele wereld, dus 7 miljard mensen ingeënt zijn.",00:03:48.620,00:03:51.560
"En ik vraag u, hebt u Bill Gates gekozen?",00:03:51.780,00:03:55.840
Nee!,00:03:55.840,00:03:56.980
"U hebt hme niet als chef van de WHO gekozen,",00:03:57.180,00:04:00.300
"het geeft trouwens geen mogelijkheid omdat democratisch te doen,",00:04:00.580,00:04:03.820
"die die daar het meeste geld geeft, deelt de wetten uit,",00:04:03.820,00:04:06.700
"u wordt deze man ook niet op democratische wijze kwijt,",00:04:07.020,00:04:09.020
u kunt alleen van deze man verlost worden als u uw regering aanpakt.,00:04:09.220,00:04:12.180
En onze regering doet wat ...,00:04:12.700,00:04:15.500
"hoogst corrupt wat ze doen,",00:04:15.500,00:04:16.580
ze hebben alleen mensen in hun omgeving ....,00:04:16.760,00:04:18.760
die op de loonlijst van Gates staan.,00:04:18.760,00:04:20.420
Ze worden dus van mensen beraden ...,00:04:20.420,00:04:22.240
van die men zeggen kan ...,00:04:22.320,00:04:24.320
ze zijn ongelooflijk bevangen en ...,00:04:24.320,00:04:25.540
"zo moet ook de woorden van onze gezondheids-minister verstaan,",00:04:25.680,00:04:29.060
"zo moet u ook de woorden van Angela Merkel verstaan,",00:04:29.060,00:04:30.980
"zo moet u ook heer Drosten verstaan,",00:04:30.980,00:04:32.720
en ook heer Bieder verstaan.,00:04:32.720,00:04:33.920
En als we een bekijken wat zich afspeelt ...,00:04:33.920,00:04:35.900
"Ik was afslopen zaterdag in Berlijn op een demonstratie,",00:04:36.760,00:04:39.020
"een demonstratie voor de grondwet,",00:04:40.140,00:04:42.140
"op de Rosa Luxemburg Platz,",00:04:42.140,00:04:43.520
en ik werd getuige ....,00:04:43.540,00:04:45.540
"hoe mensen gearresteerd werden,",00:04:45.640,00:04:47.640
"mensen werden in Merkel 2020 gearresteerd,",00:04:47.900,00:04:51.440
omdat ze de grondwet in het openbaar bij zich droegen.,00:04:51.680,00:04:54.200
"En de politie, daar geeft het filmopnamen van,",00:04:54.600,00:04:57.500
de politie heeft alle mensen gesommeerd ...,00:04:57.700,00:05:01.500
"de grondwet weg te doen,",00:05:01.500,00:05:03.380
want de grondwet is een illegale uiting.,00:05:03.560,00:05:06.780
Nog een keer ...,00:05:06.800,00:05:08.800
"Diegenen die de grondwet in Merkels Duitsland in de openbaarheid bij zich draagt,",00:05:09.180,00:05:13.120
wordt door de politie gearresteerd.,00:05:13.120,00:05:14.860
Dat is Merkels Duitsland ...,00:05:15.080,00:05:17.620
dat alles onder de dekmantel van Corona ...,00:05:17.920,00:05:19.920
en dat omdat Bill en Belinda Gates het zo wensen!,00:05:20.120,00:05:23.220
"Bill en Belinda Gates, het echtpaar Gates ...",00:05:23.340,00:05:26.060
